scorevideo	LOG
File:
logXCB7_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:msng	XCB7	Blue	081617	1-166545
Play	duration	(min):	92.525
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
88435	49:07.83	lead	swim	either
88575	49:12.50	pot	entry	either
88771	49:19.03	pot	exit	either
88833	49:21.10	lead	swim	either
89031	49:27.70	blue	lateral	display	(left)	either
89269	49:35.63	quiver	at	female	either
89423	49:40.77	attack	female	either
89695	49:49.83	chase	female	either
89791	49:53.03	quiver	at	female	either
89871	49:55.70	attack	female	either
90057	50:01.90	attack	female	either
90227	50:07.57	blue	lateral	display	(left)	either
90311	50:10.37	blue	lateral	display	(left)	either
90383	50:12.77	attack	female	either
90805	50:26.83	quiver	at	female	either
91041	50:34.70	blue	lateral	display	(left)	either
91215	50:40.50	blue	lateral	display	(left)	either
91363	50:45.43	blue	lateral	display	(left)	either
91447	50:48.23	attack	blue	(left)	either
91501	50:50.03	blue	lateral	display	(left)	either
91667	50:55.57	blue	lateral	display	(left)	either
91795	50:59.83	blue	lateral	display	(left)	either
92213	51:13.77	quiver	at	female	either
92399	51:19.97	quiver	at	female	either
92435	51:21.17	attack	female	either
92591	51:26.37	quiver	at	female	either
92657	51:28.57	attack	female	either
92821	51:34.03	attack	female	either
93357	51:51.90	pot	entry	either
93445	51:54.83	dig	either
93455	51:55.17	pot	exit	either
93483	51:56.10	attack	yellow	(right)	either
93583	51:59.43	attack	female	either
93833	52:07.77	blue	lateral	display	(left)	either
93931	52:11.03	blue	lateral	display	(left)	either
94011	52:13.70	quiver	at	female	either
94121	52:17.37	chase	female	either
94207	52:20.23	blue	lateral	display	(left)	either
94271	52:22.37	blue	lateral	display	(left)	either
94315	52:23.83	attack	female	either
94343	52:24.77	attack	female	either
94389	52:26.30	attack	female	either
94703	52:36.77	blue	lateral	display	(left)	either
94811	52:40.37	attack	blue	(left)	either
94923	52:44.10	blue	lateral	display	(left)	either
95013	52:47.10	attack	blue	(left)	either
95061	52:48.70	blue	lateral	display	(left)	either
95123	52:50.77	attack	blue	(left)	either
95149	52:51.63	blue	lateral	display	(left)	either
95269	52:55.63	attack	female	either
95539	53:04.63	blue	lateral	display	(left)	either
95621	53:07.37	blue	lateral	display	(left)	either
95703	53:10.10	blue	lateral	display	(left)	either
95747	53:11.57	attack	female	either
95879	53:15.97	blue	lateral	display	(left)	either
95925	53:17.50	attack	blue	(left)	either
95985	53:19.50	blue	lateral	display	(left)	either
96075	53:22.50	attack	blue	(left)	either
96093	53:23.10	blue	lateral	display	(left)	either
96177	53:25.90	attack	blue	(left)	either
96263	53:28.77	blue	lateral	display	(left)	either
96325	53:30.83	attack	blue	(left)	either
96359	53:31.97	blue	lateral	display	(left)	either
96399	53:33.30	attack	blue	(left)	either
96419	53:33.97	blue	lateral	display	(left)	either
96461	53:35.37	attack	blue	(left)	either
96473	53:35.77	blue	lateral	display	(left)	either
96527	53:37.57	attack	blue	(left)	either
96555	53:38.50	blue	lateral	display	(left)	either
96655	53:41.83	attack	blue	(left)	either
96693	53:43.10	attack	blue	(left)	either
96737	53:44.57	blue	lateral	display	(left)	either
96869	53:48.97	blue	lateral	display	(left)	either
96917	53:50.57	attack	female	either
97025	53:54.17	attack	female	either
97353	54:05.10	lead	swim	either
97435	54:07.83	blue	lateral	display	(left)	either
97543	54:11.43	chase	female	either
97665	54:15.50	quiver	at	female	either
97845	54:21.50	attack	female	either
98369	54:38.97	attack	blue	(left)	either
98423	54:40.77	blue	lateral	display	(left)	either
98543	54:44.77	attack	yellow	(right)	either
98647	54:48.23	blue	lateral	display	(left)	either
98857	54:55.23	attack	blue	(left)	either
98935	54:57.83	attack	blue	(left)	either
99073	55:02.43	attack	blue	(left)	either
99223	55:07.43	lead	swim	either
99273	55:09.10	quiver	at	female	either
99337	55:11.23	quiver	at	female	either
99425	55:14.17	lead	swim	either
99771	55:25.70	attack	blue	(left)	either
99807	55:26.90	blue	lateral	display	(left)	either
99867	55:28.90	lead	swim	either
99967	55:32.23	lead	swim	either
100135	55:37.83	lead	swim	either
100249	55:41.63	lead	swim	either
100823	56:00.77	lead	swim	either
100935	56:04.50	lead	swim	either
100997	56:06.57	attack	female	either
101057	56:08.57	lead	swim	either
101091	56:09.70	attack	female	either
101137	56:11.23	quiver	at	female	either
101221	56:14.03	lead	swim	either
101523	56:24.10	quiver	at	female	either
102469	56:55.63	lead	swim	either
102575	56:59.17	lead	swim	either
102699	57:03.30	chase	female	either
102823	57:07.43	lead	swim	either
102893	57:09.77	chase	female	either
102997	57:13.23	lead	swim	either
103097	57:16.57	lead	swim	either
103171	57:19.03	quiver	at	female	either
103209	57:20.30	lead	swim	either
103315	57:23.83	lead	swim	either
104001	57:46.70	attack	female	either
104843	58:14.77	quiver	at	female	either
104949	58:18.30	quiver	at	female	either
105319	58:30.63	attack	female	either
105401	58:33.37	lead	swim	either
105527	58:37.57	quiver	at	female	either
105557	58:38.57	lead	swim	either
105913	58:50.43	blue	lateral	display	(left)	either
106021	58:54.03	lead	swim	either
106173	58:59.10	attack	female	either
106671	59:15.70	blue	lateral	display	(left)	either
107121	59:30.70	lead	swim	either
107197	59:33.23	quiver	at	female	either
107367	59:38.90	lead	swim	either
107473	59:42.43	pot	entry	either
107599	59:46.63	pot	exit	either
107727	59:50.90	chase	female	either
107969	59:58.97	blue	lateral	display	(left)	either
------------------------------------------

NOTES
------------------------------------------
------------------------------------------

MARKS
------------------------------------------
frame	time(min:sec)	mark	name
------------------------------------------
	1	0:00.03	video	start
166545	92:31.50	video	end
------------------------------------------
